"Western Mam; Tacanec";mamm1241
Munduruku?;mund1330
Nishgha;nisg1240
Low German;nort2627
Northern Pame;nort2984
Panamint;pana1305
Nigerian Pidgin;nige1257
Northern Pomo;nort2966
Texistepec Popoluca;texi1237
Eastern Khanty;khan1273
Catalan;stan1289
Croatian;croa1245
Czech;czec1258
Galician;gali1258
Kabiye;kabi1261
Mono;mono1270
Indonesian;indo1316
Italian;ital1282
Salasaca Quichua;sala1272
Seri;seri1257
Sindhi;sind1272
Slovene;slov1268
Swedish;swed1254
Taba;east2440
Tukang Besi;tuka1248
Yine;yine1238
Quiche;kich1262
Huallaga (Huanuco) Quechua;huam1248
Sipakapense Maya;sipa1247
Chimborazo Quichua;chim1302
Tepehua;tlac1235
Abulas;ambu1247
Abau;abau1245
Agaw;qima1242
Akha;akha1245
Alyawarra;alya1239
Amanab;aman1265
Anywa;anua1242
Arandai;aran1237
Arapesh;bumb1241
Tanacross;tana1290
Au;auuu1241
Tinputz;tinp1237
Petats;peta1245
Patep;pate1247
Kela;kela1255
Sursurunga;surs1246
Awara;awar1248
Awing;awin1248
Awtuw;awtu1239
Baba;baba1264
Babanki;baba1266
Bakoko;bako1249
Bali-Kumbat;nyon1241
Bamunka;bamu1256
Bangolan;bang1356
Banoo;bata1285
Bariai;bari1286
Befang;befa1241
Ida''an';idaa1241
Bemba;bemb1257
Berbice Dutch;berb1259
Betta Kurumba;bett1235
Biak;biak1248
Bilinara;bili1250
Binandere;bina1277
Bobo;sout2840
